MAT,Z,X,A,M
125,1,H,1,g
128,1,H,2,g
131,1,H,3,g
225,2,He,3,g
228,2,He,4,g
325,3,Li,6,g
328,3,Li,7,g
425,4,Be,9,g
525,5,B,10,g
528,5,B,11,g
600,6,C,0,g
628,6,C,13,g
725,7,N,14,g
728,7,N,15,g
825,8,O,16,g
828,8,O,17,g
831,8,O,18,g
925,9,F,19,g
1025,10,Ne,20,g
1028,10,Ne,21,g
1031,10,Ne,22,g
1122,11,Na,22,g
1125,11,Na,23,g
1225,12,Mg,24,g
1228,12,Mg,25,g
1231,12,Mg,26,g
1234,12,Mg,27,g
1322,13,Al,26,g
1325,13,Al,27,g
1425,14,Si,28,g
1428,14,Si,29,g
1431,14,Si,30,g
1434,14,Si,31,g
1437,14,Si,32,g
1525,15,P,31,g
1528,15,P,32,g
1531,15,P,33,g
1625,16,S,32,g
1628,16,S,33,g
1631,16,S,34,g
1634,16,S,35,g
1637,16,S,36,g
1725,17,Cl,35,g
1728,17,Cl,36,g
1731,17,Cl,37,g
1825,18,Ar,36,g
1828,18,Ar,37,g
1831,18,Ar,38,g
1834,18,Ar,39,g
1837,18,Ar,40,g
1840,18,Ar,41,g
1925,19,K,39,g
1928,19,K,40,g
1931,19,K,41,g
2025,20,Ca,40,g
2028,20,Ca,41,g
2031,20,Ca,42,g
2034,20,Ca,43,g
2037,20,Ca,44,g
2040,20,Ca,45,g
2043,20,Ca,46,g
2046,20,Ca,47,g
2049,20,Ca,48,g
2122,21,Sc,44,g
2125,21,Sc,45,g
2128,21,Sc,46,g
2131,21,Sc,47,g
2134,21,Sc,48,g
2219,22,Ti,44,g
2225,22,Ti,46,g
2228,22,Ti,47,g
2231,22,Ti,48,g
2234,22,Ti,49,g
2237,22,Ti,50,g
2319,23,V,48,g
2322,23,V,49,g
2325,23,V,50,g
2328,23,V,51,g
2425,24,Cr,50,g
2428,24,Cr,51,g
2431,24,Cr,52,g
2434,24,Cr,53,g
2437,24,Cr,54,g
2516,25,Mn,52,g
2519,25,Mn,53,g
2522,25,Mn,54,g
2525,25,Mn,55,g
2625,26,Fe,54,g
2628,26,Fe,55,g
2631,26,Fe,56,g
2634,26,Fe,57,g
2637,26,Fe,58,g
2640,26,Fe,59,g
2643,26,Fe,60,g
2716,27,Co,56,g
2719,27,Co,57,g
2722,27,Co,58,g
2723,27,Co,58,m
2725,27,Co,59,g
2728,27,Co,60,g
2735,27,Co,62,m
2819,28,Ni,56,g
2822,28,Ni,57,g
2825,28,Ni,58,g
2828,28,Ni,59,g
2831,28,Ni,60,g
2834,28,Ni,61,g
2837,28,Ni,62,g
2840,28,Ni,63,g
2843,28,Ni,64,g
2849,28,Ni,66,g
2925,29,Cu,63,g
2928,29,Cu,64,g
2931,29,Cu,65,g
2934,29,Cu,66,g
2937,29,Cu,67,g
3025,30,Zn,64,g
3028,30,Zn,65,g
3031,30,Zn,66,g
3034,30,Zn,67,g
3037,30,Zn,68,g
3043,30,Zn,70,g
3119,31,Ga,67,g
3125,31,Ga,69,g
3131,31,Ga,71,g
3225,32,Ge,70,g
3231,32,Ge,72,g
3234,32,Ge,73,g
3237,32,Ge,74,g
3243,32,Ge,76,g
3313,33,As,71,g
3316,33,As,72,g
3319,33,As,73,g
3322,33,As,74,g
3325,33,As,75,g
3328,33,As,76,g
3331,33,As,77,g
3425,34,Se,74,g
3428,34,Se,75,g
3431,34,Se,76,g
3434,34,Se,77,g
3437,34,Se,78,g
3440,34,Se,79,g
3443,34,Se,80,g
3449,34,Se,82,g
3519,35,Br,77,g
3525,35,Br,79,g
3531,35,Br,81,g
3534,35,Br,82,g
3625,36,Kr,78,g
3631,36,Kr,80,g
3637,36,Kr,82,g
3640,36,Kr,83,g
3643,36,Kr,84,g
3646,36,Kr,85,g
3649,36,Kr,86,g
3725,37,Rb,85,g
3728,37,Rb,86,g
3731,37,Rb,87,g
3734,37,Rb,88,g
3822,38,Sr,83,g
3825,38,Sr,84,g
3828,38,Sr,85,g
3831,38,Sr,86,g
3834,38,Sr,87,g
3837,38,Sr,88,g
3840,38,Sr,89,g
3843,38,Sr,90,g
3919,39,Y,87,g
3922,39,Y,88,g
3925,39,Y,89,g
3928,39,Y,90,g
3931,39,Y,91,g
4019,40,Zr,88,g
4022,40,Zr,89,g
4025,40,Zr,90,g
4028,40,Zr,91,g
4031,40,Zr,92,g
4034,40,Zr,93,g
4037,40,Zr,94,g
4040,40,Zr,95,g
4043,40,Zr,96,g
4119,41,Nb,91,g
4122,41,Nb,92,g
4125,41,Nb,93,g
4128,41,Nb,94,g
4129,41,Nb,94,m
4131,41,Nb,95,g
4225,42,Mo,92,g
4228,42,Mo,93,g
4231,42,Mo,94,g
4234,42,Mo,95,g
4237,42,Mo,96,g
4240,42,Mo,97,g
4243,42,Mo,98,g
4246,42,Mo,99,g
4249,42,Mo,100,g
4316,43,Tc,96,g
4319,43,Tc,97,g
4322,43,Tc,98,g
4331,43,Tc,99,g
4425,44,Ru,96,g
4428,44,Ru,97,g
4431,44,Ru,98,g
4434,44,Ru,99,g
4437,44,Ru,100,g
4440,44,Ru,101,g
4443,44,Ru,102,g
4446,44,Ru,103,g
4449,44,Ru,104,g
4452,44,Ru,105,g
4455,44,Ru,106,g
4513,45,Rh,99,g
4519,45,Rh,101,g
4522,45,Rh,102,g
4525,45,Rh,103,g
4528,45,Rh,104,g
4531,45,Rh,105,g
4625,46,Pd,102,g
4628,46,Pd,103,g
4631,46,Pd,104,g
4634,46,Pd,105,g
4637,46,Pd,106,g
4640,46,Pd,107,g
4643,46,Pd,108,g
4649,46,Pd,110,g
4723,47,Ag,106,m
4725,47,Ag,107,g
4728,47,Ag,108,g
4731,47,Ag,109,g
4734,47,Ag,110,g
4735,47,Ag,110,m
4737,47,Ag,111,g
4825,48,Cd,106,g
4831,48,Cd,108,g
4834,48,Cd,109,g
4837,48,Cd,110,g
4840,48,Cd,111,g
4843,48,Cd,112,g
4846,48,Cd,113,g
4849,48,Cd,114,g
4853,48,Cd,115,m
4855,48,Cd,116,g
4925,49,In,113,g
4928,49,In,114,g
4931,49,In,115,g
5025,50,Sn,112,g
5028,50,Sn,113,g
5031,50,Sn,114,g
5034,50,Sn,115,g
5037,50,Sn,116,g
5040,50,Sn,117,g
5043,50,Sn,118,g
5046,50,Sn,119,g
5049,50,Sn,120,g
5052,50,Sn,121,g
5055,50,Sn,122,g
5058,50,Sn,123,g
5061,50,Sn,124,g
5064,50,Sn,125,g
5067,50,Sn,126,g
5125,51,Sb,121,g
5128,51,Sb,122,g
5131,51,Sb,123,g
5134,51,Sb,124,g
5137,51,Sb,125,g
5140,51,Sb,126,g
5143,51,Sb,127,g
5225,52,Te,120,g
5228,52,Te,121,g
5231,52,Te,122,g
5234,52,Te,123,g
5237,52,Te,124,g
5240,52,Te,125,g
5243,52,Te,126,g
5247,52,Te,127,m
5249,52,Te,128,g
5253,52,Te,129,m
5255,52,Te,130,g
5259,52,Te,131,m
5261,52,Te,132,g
5322,53,I,126,g
5325,53,I,127,g
5328,53,I,128,g
5331,53,I,129,g
5334,53,I,130,g
5337,53,I,131,g
5349,53,I,135,g
5422,54,Xe,123,g
5425,54,Xe,124,g
5431,54,Xe,126,g
5434,54,Xe,127,g
5437,54,Xe,128,g
5440,54,Xe,129,g
5443,54,Xe,130,g
5446,54,Xe,131,g
5449,54,Xe,132,g
5452,54,Xe,133,g
5455,54,Xe,134,g
5458,54,Xe,135,g
5459,54,Xe,135,m
5461,54,Xe,136,g
5525,55,Cs,133,g
5528,55,Cs,134,g
5531,55,Cs,135,g
5534,55,Cs,136,g
5537,55,Cs,137,g
5625,56,Ba,130,g
5628,56,Ba,131,g
5631,56,Ba,132,g
5634,56,Ba,133,g
5637,56,Ba,134,g
5640,56,Ba,135,g
5643,56,Ba,136,g
5646,56,Ba,137,g
5649,56,Ba,138,g
5652,56,Ba,139,g
5655,56,Ba,140,g
5722,57,La,137,g
5725,57,La,138,g
5728,57,La,139,g
5731,57,La,140,g
5825,58,Ce,136,g
5828,58,Ce,137,g
5831,58,Ce,138,g
5834,58,Ce,139,g
5837,58,Ce,140,g
5840,58,Ce,141,g
5843,58,Ce,142,g
5846,58,Ce,143,g
5849,58,Ce,144,g
5925,59,Pr,141,g
5928,59,Pr,142,g
5931,59,Pr,143,g
6025,60,Nd,142,g
6028,60,Nd,143,g
6031,60,Nd,144,g
6034,60,Nd,145,g
6037,60,Nd,146,g
6040,60,Nd,147,g
6043,60,Nd,148,g
6049,60,Nd,150,g
6149,61,Pm,147,g
6152,61,Pm,148,g
6153,61,Pm,148,m
6155,61,Pm,149,g
6161,61,Pm,151,g
6225,62,Sm,144,g
6228,62,Sm,145,g
6231,62,Sm,146,g
6234,62,Sm,147,g
6237,62,Sm,148,g
6240,62,Sm,149,g
6243,62,Sm,150,g
6246,62,Sm,151,g
6249,62,Sm,152,g
6252,62,Sm,153,g
6255,62,Sm,154,g
6325,63,Eu,151,g
6328,63,Eu,152,g
6329,63,Eu,152,m
6331,63,Eu,153,g
6334,63,Eu,154,g
6337,63,Eu,155,g
6340,63,Eu,156,g
6343,63,Eu,157,g
6413,64,Gd,148,g
6416,64,Gd,149,g
6419,64,Gd,150,g
6422,64,Gd,151,g
6425,64,Gd,152,g
6428,64,Gd,153,g
6431,64,Gd,154,g
6434,64,Gd,155,g
6437,64,Gd,156,g
6440,64,Gd,157,g
6443,64,Gd,158,g
6449,64,Gd,160,g
6452,64,Gd,161,g
6522,65,Tb,158,g
6525,65,Tb,159,g
6528,65,Tb,160,g
6625,66,Dy,156,g
6631,66,Dy,158,g
6634,66,Dy,159,g
6637,66,Dy,160,g
6640,66,Dy,161,g
6643,66,Dy,162,g
6646,66,Dy,163,g
6649,66,Dy,164,g
6652,66,Dy,165,g
6719,67,Ho,163,g
6725,67,Ho,165,g
6729,67,Ho,166,m
6825,68,Er,162,g
6831,68,Er,164,g
6837,68,Er,166,g
6840,68,Er,167,g
6843,68,Er,168,g
6846,68,Er,169,g
6849,68,Er,170,g
6852,68,Er,171,g
6855,68,Er,172,g
6925,69,Tm,169,g
6928,69,Tm,170,g
6931,69,Tm,171,g
7025,70,Yb,168,g
7028,70,Yb,169,g
7031,70,Yb,170,g
7034,70,Yb,171,g
7037,70,Yb,172,g
7040,70,Yb,173,g
7043,70,Yb,174,g
