LIB,VER,Z,SYM,A,M,MF,MT,LIBORIG,VERORIG
JEFF,3.2,17,Cl,36,g,14,57,TENDL,2009
JEFF,3.2,17,Cl,37,g,6,655,ENDFB,7.0
JEFF,3.2,14,Si,28,g,14,63,JEFF,3.0
JEFF,3.2,17,Cl,37,g,6,703,ENDFB,7.0
JEFF,3.2,11,Na,22,g,3,104,JEFF,3.0
JEFF,3.2,18,Ar,41,g,3,42,JEFF,3.2
JEFF,3.2,14,Si,28,g,3,104,JEFF,3.0
JEFF,3.2,12,Mg,25,g,14,62,JENDL,3.3
JEFF,3.2,13,Al,27,g,6,607,ENDFB,7.0
JEFF,3.2,100,Fm,255,g,1,452,JENDL,3.2
JEFF,3.2,12,Mg,24,g,4,52,ENDFB,7.0
JEFF,3.2,100,Fm,255,g,1,455,JENDL,3.2
JEFF,3.2,100,Fm,255,g,3,1,JENDL,3.2
JEFF,3.2,100,Fm,255,g,2,151,JENDL,3.2
JEFF,3.2,100,Fm,255,g,3,2,JENDL,3.2
JEFF,3.2,100,Fm,255,g,3,16,JENDL,3.2
JEFF,3.2,100,Fm,255,g,3,4,JENDL,3.2
JEFF,3.2,100,Fm,255,g,3,17,JENDL,3.2
JEFF,3.2,100,Fm,255,g,1,456,JENDL,3.3
JEFF,3.2,100,Fm,255,g,3,18,JENDL,3.2
JEFF,3.2,100,Fm,255,g,3,37,JENDL,3.2
JEFF,3.2,11,Na,22,g,2,151,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,1,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,2,JEFF,3.0
JEFF,3.2,100,Fm,255,g,3,51,JENDL,3.2
JEFF,3.2,1,H,1,g,3,1,ENDFB,7.0
JEFF,3.2,100,Fm,255,g,3,102,JENDL,3.2
JEFF,3.2,100,Fm,255,g,3,91,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,4,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,16,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,22,JEFF,3.0
JEFF,3.2,100,Fm,255,g,4,16,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,28,JEFF,3.0
JEFF,3.2,100,Fm,255,g,4,17,JENDL,3.2
JEFF,3.2,10,Ne,21,g,33,32,JEFF,3.2
JEFF,3.2,11,Na,22,g,3,51,JEFF,3.0
JEFF,3.2,100,Fm,255,g,4,51,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,53,JEFF,3.0
JEFF,3.2,17,Cl,36,g,33,106,JEFF,3.2
JEFF,3.2,100,Fm,255,g,4,2,JENDL,3.3
JEFF,3.2,100,Fm,255,g,4,18,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,52,JEFF,3.0
JEFF,3.2,100,Fm,255,g,4,37,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,54,JEFF,3.0
JEFF,3.2,19,K,39,g,4,52,JEFF,3.2
JEFF,3.2,100,Fm,255,g,4,91,JENDL,3.2
JEFF,3.2,11,Na,22,g,3,55,JEFF,3.0
JEFF,3.2,11,Na,22,g,3,56,JEFF,3.0
