LIB,VER,MAT,MF,MT,LIBORIG,VERORIG
JEFF,3.3,1322,14,61,JEFF,3.3
JEFF,3.3,1234,3,41,JEFF,3.3
JEFF,3.3,1637,33,2,JEFF,3.3
JEFF,3.3,1837,3,51,JEFF,3.3
JEFF,3.3,1325,6,616,JEFF,3.2
JEFF,3.3,1628,14,58,JEFF,3.2
JEFF,3.3,1228,14,103,JEFF,3.2
JEFF,3.3,1325,3,604,JEFF,3.2
JEFF,3.3,1322,3,104,JEFF,3.3
JEFF,3.3,1325,6,651,JEFF,3.2
JEFF,3.3,1728,12,54,JEFF,3.3
JEFF,3.3,2131,3,77,JEFF,3.3
JEFF,3.3,2043,3,16,JEFF,3.3
JEFF,3.3,1637,33,41,JEFF,3.3
JEFF,3.3,2034,3,62,JEFF,3.3
JEFF,3.3,1725,3,657,JEFF,3.3
JEFF,3.3,1434,33,52,JEFF,3.3
JEFF,3.3,1825,6,32,JEFF,3.3
JEFF,3.3,1728,12,58,JEFF,3.3
JEFF,3.3,1831,3,55,JEFF,3.3
JEFF,3.3,1531,33,2,JEFF,3.3
JEFF,3.3,1122,33,116,JEFF,3.3
JEFF,3.3,1437,33,112,JEFF,3.3
JEFF,3.3,1122,33,117,JEFF,3.3
JEFF,3.3,1225,3,2,JEFF,3.2
JEFF,3.3,1231,1,451,JEFF,3.3
JEFF,3.3,1231,2,151,JEFF,3.2
JEFF,3.3,1231,3,1,JEFF,3.2
JEFF,3.3,1231,3,2,JEFF,3.2
JEFF,3.3,1231,3,4,JEFF,3.2
JEFF,3.3,1225,3,4,JEFF,3.2
JEFF,3.3,1228,1,451,JEFF,3.3
JEFF,3.3,1225,3,16,JEFF,3.2
JEFF,3.3,9936,1,451,JEFF,3.3
JEFF,3.3,1231,3,16,JEFF,3.2
JEFF,3.3,1228,2,151,JEFF,3.2
JEFF,3.3,9936,1,452,JEFF,3.3
JEFF,3.3,1231,3,22,JEFF,3.2
JEFF,3.3,1228,3,1,JEFF,3.2
JEFF,3.3,9936,1,455,JEFF,3.2
JEFF,3.3,1231,3,28,JEFF,3.2
JEFF,3.3,1228,3,2,JEFF,3.2
JEFF,3.3,9936,1,456,JEFF,3.3
JEFF,3.3,1231,3,51,JEFF,3.2
JEFF,3.3,1228,3,4,JEFF,3.2
JEFF,3.3,9936,1,458,JEFF,3.3
JEFF,3.3,1231,3,52,JEFF,3.2
JEFF,3.3,1228,3,16,JEFF,3.2
JEFF,3.3,9936,3,4,JEFF,3.3
JEFF,3.3,9936,2,151,JEFF,3.3
JEFF,3.3,1231,3,53,JEFF,3.2
JEFF,3.3,1225,1,451,JEFF,3.3
JEFF,3.3,1228,3,22,JEFF,3.2
JEFF,3.3,9936,3,1,JEFF,3.3
JEFF,3.3,1231,3,54,JEFF,3.2
JEFF,3.3,1225,2,151,JEFF,3.2
JEFF,3.3,1228,3,28,JEFF,3.2
JEFF,3.3,9936,3,2,JEFF,3.3
JEFF,3.3,1231,3,55,JEFF,3.2
JEFF,3.3,1225,3,1,JEFF,3.2
JEFF,3.3,1228,3,51,JEFF,3.2
JEFF,3.3,9936,3,37,JEFF,3.3
JEFF,3.3,1231,3,56,JEFF,3.2
JEFF,3.3,1228,3,52,JEFF,3.2
JEFF,3.3,9936,3,16,JEFF,3.3
JEFF,3.3,1231,4,22,JEFF,3.2
JEFF,3.3,1231,3,57,JEFF,3.2
