LIBVER, LIBVERCOLOR
"JEFF-3.3","#097C28"
"JEFF-3.2","#72FD7A"
"JEFF-3.1.2","#2CA743"
"JEFF-3.1.1","#3DBC51"
"JEFF-3.1","#4FD25E"
"JEFF-3.0","#60E76C"
"JEFF-2.2","#46f0f0"
"JENDL-4.0u","#f442e2"
"JENDL-4.0","#ff1493"
"JENDL-3.3","#ffc0cb"
"JENDL-3.2","#ffb6c1"
"ENDFB-8.0","#FFC129"
"ENDFB-7.1","#FADB32"
"ENDFB-7.0","#F5F63C"
"ENDFB-6.8","#F4F50A"
"TENDL-2017","#aa6e28" 
"TENDL-2015","#800000"
"TENDL-2014","#aaffc3"
"TENDL-2013","#808000"
"TENDL-2012","#ffd8b1"
"TENDL-2011","#000080"
"TENDL-2010","#808080"
"TENDL-2009","#000000"
"TENDL-2008","#fffac8"
"BROND-2.2","#F04F48"
"BROND-3.1","#C4332D"
"ROSFOND-","#f93913"
"ROSFOND-2010","#FC5130"
"CENDL-2","#8789C0"
"CENDL-3.1", "#9C9ECB"
"EAF-2010", "#5C7AFF"

