Z,A,M,HL,DHL,ELP,DELP,EEM,DEEM,EHP,DEHP
0,1,g,614.6,1.3,301370.0,0.0,0.0,0.0,0.0,0.0
1,1,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,g,389105000.0,631152.0,5707.4,1.84397,0.0,0.0,0.0,0.0
1,4,g,1.39e-22,1e-23,0.0,0.0,0.0,0.0,2878900.0,0.0
1,5,g,9.1e-22,0.0,0.0,0.0,0.0,0.0,1797600.0,0.0
1,6,g,2.9e-22,7e-23,0.0,0.0,0.0,0.0,1797500.0,0.0
1,7,g,2.3e-23,6e-25,0.0,0.0,0.0,0.0,107400.0,0.0
2,3,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,g,7e-22,3e-23,0.0,0.0,0.0,0.0,893785.0,0.0
2,6,g,0.8081,0.002,1561310.0,1787.23,5644.05,0.0,0.0,0.0
2,7,g,2.9e-21,5e-22,0.0,0.0,0.0,0.0,434601.0,0.0
2,8,g,0.122,0.002,4448620.0,58367.9,884966.0,10369.7,141370.0,10369.7
2,9,g,7e-21,4e-21,0.0,0.0,0.0,0.0,1269700.0,0.0
2,10,g,2.7e-21,1.8e-21,0.0,0.0,0.0,0.0,1069400.0,0.0
3,4,g,9.1e-23,9e-24,0.0,0.0,0.0,0.0,3099790.0,0.0
3,5,g,3.7e-22,3e-23,0.0,0.0,0.0,0.0,1966090.0,0.0
3,6,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,g,0.838,0.006,6204620.0,14446.8,32983.1,30000.4,3125250.0,30000.4
3,9,g,0.1783,0.0004,5696250.0,404566.0,29895.7,0.0,0.0,0.0
3,10,g,2e-21,5e-22,0.0,0.0,0.0,0.0,25400.7,0.0
3,11,g,0.00875,0.00014,5087510.0,0.0,5087510.0,0.0,4461950.0,0.0
3,12,g,1e-08,0.0,0.0,0.0,0.0,0.0,1231700.0,0.0
4,5,g,1e-09,1e-09,0.0,0.0,0.0,0.0,5391000.0,0.0
4,6,g,5e-21,3e-22,0.0,0.0,0.0,0.0,1372080.0,0.0
4,7,g,4598210.0,5184.0,27.24,0.324965,49861.8,0.0,0.0,0.0
4,8,g,7e-17,2e-17,0.0,0.0,0.0,50.2107,91898.4,50.2107
4,9,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,g,50492200000000.0,6311520000000.0,252211.0,2542.03,0.0,0.0,0.0,0.0
4,11,g,13.81,0.08,4647310.0,284077.0,1418780.0,5400.09,36272.6,5400.09
4,12,g,0.0213,0.0001,5615000.0,8000.0,0.0,15.6763,12235.9,15.6763
4,13,g,5e-10,1e-10,0.0,0.0,0.0,0.0,101698.0,0.0
4,14,g,0.00435,0.00017,3803050.0,0.0,3803050.0,0.0,3803050.0,0.0
4,15,g,2e-07,0.0,0.0,0.0,0.0,0.0,1778700.0,0.0
4,16,g,2e-07,0.0,0.0,0.0,0.0,0.0,1587400.0,0.0
5,6,g,1e-09,1e-09,0.0,0.0,0.0,0.0,3702000.0,0.0
5,7,g,3.5e-22,5e-23,0.0,0.0,0.0,0.0,2206000.0,0.0
5,8,g,0.77,0.003,4517920.0,0.0,4517920.0,0.0,4517920.0,0.0
5,9,g,8e-19,3e-19,0.0,0.0,0.0,0.0,185031.0,0.0
5,10,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,11,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12,g,0.0202,2e-05,6308410.0,21107.2,90564.5,734.19,6641.68,734.19
5,13,g,0.01733,0.00017,6278300.0,63881.9,313527.0,1228.33,9757.3,1228.33
5,14,g,0.0125,0.0005,7084740.0,569810.0,5936280.0,1862.2,23179.6,1862.2
5,15,g,0.00987,7e-05,4575790.0,0.0,4575790.0,0.0,4193810.0,0.0
5,16,g,1.9e-10,0.0,0.0,0.0,0.0,0.0,36699.8,0.0
5,17,g,0.00508,5e-05,5803500.0,0.0,5803500.0,0.0,4098680.0,0.0
5,18,g,2.6e-08,0.0,0.0,0.0,0.0,0.0,478703.0,0.0
5,19,g,0.00292,0.00013,6328410.0,0.0,6328410.0,0.0,6328410.0,0.0
6,8,g,2e-21,4e-22,0.0,0.0,0.0,0.0,2141000.0,0.0
6,9,g,0.1265,0.0009,4887290.0,0.0,4887290.0,0.0,1588330.0,0.0
6,10,g,19.29,0.012,807207.0,320.384,1754870.0,0.0,0.0,0.0
6,11,g,1221.66,1.38,384367.0,392.237,1019440.0,0.0,0.0,0.0
6,12,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
